Salida;Vehículo Liviano;6.13;1/3/2019;00:19:48
Ingreso;Vehículo Pesado;8.62;1/3/2019;00:19:48
Salida;Vehículo Pesado;11.32;1/3/2019;00:19:52
Salida;Vehículo Liviano;9.65;1/3/2019;00:19:53
Ingreso;Vehículo Pesado;10.16;1/3/2019;00:19:53
Ingreso;Vehículo Pesado;22.17;1/3/2019;00:19:54
Salida;Vehículo Liviano;10.99;1/3/2019;00:19:54
Ingreso;Vehículo Pesado;12.08;1/3/2019;00:19:54
Salida;Vehículo Liviano;6.4;1/3/2019;00:19:55
Ingreso;Vehículo Pesado;12.61;1/3/2019;00:19:56
Ingreso;Vehículo Pesado;5.79;1/3/2019;00:19:56
Salida;Vehículo Liviano;29;1/3/2019;00:19:57
Ingreso;Vehículo Pesado;8.76;1/3/2019;00:20:00
Salida;Vehículo Liviano;12.31;1/3/2019;00:20:01
Ingreso;Vehículo Pesado;12.45;1/3/2019;00:20:09
Ingreso;Vehículo Pesado;7.66;1/3/2019;00:20:09
Ingreso;Vehículo Pesado;10.89;1/3/2019;00:20:10
Salida;Vehículo Liviano;10.02;1/3/2019;00:20:12
Ingreso;Vehículo Pesado;11.15;1/3/2019;00:20:17
Salida;Vehículo Liviano;29.05;1/3/2019;00:20:22
Ingreso;Vehículo Pesado;5.57;1/3/2019;00:20:23
Salida;Vehículo Liviano;10.76;1/3/2019;00:20:26
Salida;Vehículo Liviano;11.42;1/3/2019;00:20:27
Salida;Vehículo Liviano;130.53;1/3/2019;00:20:29
Salida;Vehículo Liviano;12.2;1/3/2019;00:20:33
Ingreso;Vehículo Mediano;30.54;1/3/2019;00:20:34
Salida;Vehículo Liviano;11.44;1/3/2019;00:20:37
Ingreso;Vehículo Liviano;51.41;1/3/2019;00:20:43
Salida;Vehículo Liviano;56.32;1/3/2019;00:20:44
Salida;Vehículo Pesado;11.47;1/3/2019;00:20:44
Ingreso;Vehículo Pesado;9.23;1/3/2019;00:20:46
Salida;Vehículo Liviano;7.16;1/3/2019;00:20:48
Ingreso;Vehículo Pesado;6.47;1/3/2019;00:20:48
Salida;Vehículo Liviano;9.64;1/3/2019;00:20:50
Salida;Vehículo Pesado;27.34;1/3/2019;00:20:51
Salida;Vehículo Liviano;17.49;1/3/2019;00:20:53
Salida;Vehículo Liviano;7.28;1/3/2019;00:20:54
Salida;Vehículo Liviano;23.86;1/3/2019;00:20:56
Ingreso;Vehículo Pesado;6.68;1/3/2019;00:20:57
Salida;Vehículo Liviano;14.41;1/3/2019;00:20:58
Ingreso;Vehículo Pesado;8.54;1/3/2019;00:20:58
Salida;Vehículo Mediano;17.72;1/3/2019;00:21:00
Ingreso;Vehículo Pesado;8.02;1/3/2019;00:21:00
Salida;Vehículo Liviano;14;1/3/2019;00:21:01
Ingreso;Vehículo Pesado;9.69;1/3/2019;00:21:15
Salida;Vehículo Liviano;8.06;1/3/2019;00:21:17
Ingreso;Vehículo Pesado;11.16;1/3/2019;00:21:22
Salida;Vehículo Liviano;8.44;1/3/2019;00:21:23
Salida;Vehículo Liviano;10.73;1/3/2019;00:21:23
Ingreso;Vehículo Pesado;10.67;1/3/2019;00:21:26
Salida;Vehículo Liviano;10.63;1/3/2019;00:21:27
Ingreso;Vehículo Pesado;7.63;1/3/2019;00:21:28
Salida;Vehículo Liviano;15.78;1/3/2019;00:21:30
Salida;Vehículo Liviano;11.03;1/3/2019;00:21:31
Salida;Vehículo Liviano;7.33;1/3/2019;00:21:32
Ingreso;Vehículo Pesado;12.84;1/3/2019;00:21:35
Salida;Vehículo Liviano;7.86;1/3/2019;00:21:38
Salida;Vehículo Liviano;10.97;1/3/2019;00:21:40
Salida;Vehículo Liviano;6.56;1/3/2019;00:21:40
Salida;Vehículo Liviano;12.12;1/3/2019;00:21:42
Ingreso;Vehículo Liviano;24.13;1/3/2019;00:21:45
Salida;Vehículo Liviano;7.22;1/3/2019;00:21:45
Ingreso;Vehículo Pesado;6.74;1/3/2019;00:21:45
Ingreso;Vehículo Pesado;6.77;1/3/2019;00:21:51
Ingreso;Vehículo Liviano;46.42;1/3/2019;00:21:54
Salida;Vehículo Mediano;21.3;1/3/2019;00:21:58
Ingreso;Vehículo Pesado;9.44;1/3/2019;00:22:04
Salida;Vehículo Liviano;9.44;1/3/2019;00:22:12
Salida;Vehículo Liviano;11.52;1/3/2019;00:22:13
Salida;Vehículo Liviano;8.9;1/3/2019;00:22:16
Ingreso;Vehículo Pesado;10.79;1/3/2019;00:22:17
Salida;Vehículo Liviano;13.99;1/3/2019;00:22:18
Salida;Vehículo Pesado;32.03;1/3/2019;00:22:25
Ingreso;Vehículo Pesado;7.23;1/3/2019;00:22:26
Ingreso;Vehículo Pesado;8.74;1/3/2019;00:22:35
Salida;Vehículo Liviano;8.36;1/3/2019;00:22:38
Ingreso;Vehículo Pesado;8.5;1/3/2019;00:22:41
Salida;Vehículo Liviano;10.66;1/3/2019;00:22:45
Salida;Vehículo Liviano;8.18;1/3/2019;00:22:45
Salida;Vehículo Liviano;62.33;1/3/2019;00:22:48
Salida;Vehículo Liviano;18.69;1/3/2019;00:22:51
Salida;Vehículo Liviano;16.93;1/3/2019;00:22:51
Ingreso;Vehículo Pesado;10.83;1/3/2019;00:22:53
Ingreso;Vehículo Pesado;10.58;1/3/2019;00:22:53
Salida;Vehículo Liviano;7.92;1/3/2019;00:22:56
Ingreso;Vehículo Pesado;7.56;1/3/2019;00:23:10
Ingreso;Vehículo Pesado;9.9;1/3/2019;00:23:11
Salida;Vehículo Liviano;13.27;1/3/2019;00:23:12
Ingreso;Vehículo Pesado;6;1/3/2019;00:23:12
Ingreso;Vehículo Pesado;9.51;1/3/2019;00:23:18
Ingreso;Vehículo Pesado;7.72;1/3/2019;00:23:19
Salida;Vehículo Liviano;9.89;1/3/2019;00:23:22
Salida;Vehículo Liviano;8.21;1/3/2019;00:23:23
Ingreso;Vehículo Pesado;10.29;1/3/2019;00:23:25
Ingreso;Vehículo Pesado;11.05;1/3/2019;00:23:26
Ingreso;Vehículo Pesado;10.87;1/3/2019;00:23:27
Ingreso;Vehículo Pesado;10.57;1/3/2019;00:23:28
Salida;Vehículo Liviano;11.37;1/3/2019;00:23:30
Ingreso;Vehículo Pesado;8.98;1/3/2019;00:23:37
Ingreso;Vehículo Pesado;8.73;1/3/2019;00:23:37
